s_EngName,s_ChiName,s_Gender,s_Age,s_Born,s_IdNumber,parent_Name,parent_PhoneNumber,home_Address,email,password
Wong Chun Gwun ,王春筠,F,7,Hong Kong,I9797496,陳玉婷,12345678,香港油尖旺區官湧覺士道58號,12345678@cityprimary.com,123456
Lei Joe Hing ,李祖興,M,8,Hong Kong,V6447651,謝文洋,45678903,香港東區小西灣富康街617號,12345679@cityprimary.com,123456
Hau Hang Mun ,侯幸紋,M,9,Hong Kong,H4063661,黃昶岳,12346678,香港中西區中環皇后大道196號,12345680@cityprimary.com,123456
Lum Suk Kum ,林淑琴,F,10,China,2.10E+17,吳桂禮,55567777,香港東區香港柴灣盛泰道267號,12345681@cityprimary.com,123456
Chun Wai Ngon ,陳慧安,F,7,Hong Kong,U7628916,李恩娟,88865432,香港九龍城區鷹揚街231號,12345682@cityprimary.com,123456
Laai Jun Bing ,賴俊冰,M,8,China,6.22E+17,曾麗萍,44567864,香港西貢區魷魚灣運隆路305號,12345683@cityprimary.com,123456
Wong Sun Jung ,黃信仲,M,9,Hong Kong,Z6626611,曹承恩,42356788,香港觀塘區觀塘海濱道775號,12345684@cityprimary.com,123456
Choi Wai Duck ,蔡威德,M,10,China,5.31E+17,王淑玲,98758327,香港北區香港古洞青山公路19號,12345685@cityprimary.com,123456
Je Bark Cheung ,謝柏翔,M,11,Hong Kong,P1119137,潘志偉,98765746,香港沙田區翠欣街341號,12345686@cityprimary.com,123456
Wong Fo Yung ,黃科勇,M,12,Hong Kong,B8016823,王佩琪,57638576,香港觀塘區勵業街47號,12345687@cityprimary.com,123456
Jiu Sun Sai ,趙淳茜,F,7,Hong Kong,W5365565,沈志銘,96112798,香港北區古洞金坑路723號,12345688@cityprimary.com,123456
Lei Naai Mun ,李乃文,M,8,Hong Kong,R4552945,許綺禾,90855644,香港觀塘區臨利街306號,12345689@cityprimary.com,123456
Lum Yuk Ting ,林毓廷,F,9,Hong Kong,W10947111,盧姿岳,85749574,香港大埔區大發街616號,12345690@cityprimary.com,123456
Chun Suk Gwun ,陳淑君,F,7,Hong Kong,K4663551,吳佩君,95857463,香港元朗區高埔路187號,12345691@cityprimary.com,123456
Lum Yi Suen ,林怡璇,F,8,Hong Kong,Q2387022,彭長輝,28485749,香港南區田灣嘉禾街144號,12345692@cityprimary.com,123456
Wong Wun Ting ,黃韻婷,F,9,China,5.31E+16,郭智傑,29744535,香港中西區山頂堅尼地道2號,12345693@cityprimary.com,123456
Wong Sik Yin,黃軾然,F,7,Hong Kong,N7332538,黃季羽,24657675,香港觀塘區康利道560號,12345694@cityprimary.com,123456
Jeung Yi Fong ,張宜芳,F,8,China,5.55E+17,裴尹嬌,43268653,香港北區新界粉嶺安樂門街745號,12345695@cityprimary.com,123456
Jeng Harm Chi ,鄭涵慈,F,9,China,2.42E+17,謝予菱,43567864,香港西貢區將軍澳陶樂路644號,12345696@cityprimary.com,123456
Ng Ming Chak,吳銘澤,M,6,Hong Kong,D8648612,吳大冬,59382766,香港北區新成路290號,12345697@cityprimary.com,123456
